PRODUCT,MONTHS,DAYS
Mighty Monthly Pass,1.0,
10 Machine Classes,6.0,
1 Machine Class,6.0,
20 Machine Classes - BEST DEAL,6.0,
3 Machine Classes,6.0,
20 Machine Classes,6.0,
New Client Special: 5 for $99 (valid for 1 month),1.0,
Series of 10 Private Appointments,6.0,
New Client Special 5 Classes for $99 (valid for 1 month),1.0,
10 Machine Classes ,6.0,
Student Mighty Monthly Pass,1.0,
Mighty Monthly 12 Pass,1.0,
Series of 5 Private Appointments,6.0,
Founding Members MMP,1.0,
"Ready, Set, Spring! 8 Classes for $280 (Limit 3, Valid in RH, PH, and Marin Only)",6.0,
Ocean Park Founder’s 50 Mighty Monthly Pass,1.0,
Mighty Monthly 8 Pass,1.0,
Single Private Appointment,6.0,
Welcome Back Offer: 5 classes for $99 (valid for 2 months),2.0,
New Private Client Special - 3 sessions *First Timers Only*,2.0,
Bloom In Strength Flash Sale - 8 classes for $280,6.0,
New Client Special: 5 Classes for $99- Valid for 1 month,1.0,
20 Machine Classes - Best Deal!,6.0,
Russian Hill Founders MMP,1.0,
Tinsel & Tone Flash Sale - 8 classes for $249 (LA only),6.0,
"Align & Shine Summer Flash Sale - 8 classes for $249 (limit 3, valid in LA region only)",6.0,
Final Payment - PTT,,1.0
Core & Cupid Flash Sale - 8 classes for $280 (East Bay only),6.0,
"Spooky Strength Flash Sale - 6 Classes for $218 (Limit 3, SF Region Only)",6.0,
"Ready Set Spring - 8 classes for $240 (SM/WW only, limit 3)",6.0,
"Align & Shine Summer Flash Sale - 8 classes for $280 (limit 3, valid in SF region only)",6.0,
"Ready, Set, Spring! 8 Classes for $240 (Limit 3, Valid in Lafayette/Berkeley Only)",6.0,
Core & Cupid Flash Sale - 8 classes for $295 (SF only),6.0,
Series of 20 Private Appointments,6.0,
Student Mighty Monthly Pass,1.0,
Mighty Monthly 15 Pass,1.0,
Dynamic Pricing,12.0,
6 Machine Classes,6.0,
New Client Special: 5 for $99 (valid for 1 month),1.0,
"Align & Shine Summer Flash Sale - 8 classes for $249 (limit 3, valid in East Bay region only)",6.0,
New Private Client Special: 3 Privates for $225,2.0,
1st Payment - PTT,,1.0
Mighty Monthly 20 Pass,,1.0
Danville Founder’s 50 Mighty Monthly Pass,1.0,
Core & Cupid Flash Sale - 8 classes for $295 (SF/Marin only),6.0,
"Spooky Strength Flash Sale - 6 Classes for $199 (Limit 3, Valid in East Bay Region Only)",6.0,
"Align & Shine Summer Flash Sale - 8 classes for $280 (limit 3, valid in SF region only) ",6.0,
Mini Mighty Monthly Pass,1.0,
Pre-Opening Russian Hill MMP,1.0,
1st  Payment - PTT,,1.0
Deposit,,1.0
Next Stop: Russian Hill! - 3 classes for $73 ,1.0,
Full Single Payment - PTT,,1.0
Master Instructor - Series of 10 Privates,6.0,
Mighty Monthly 8 Privates Pass,1.0,
ClassPass Special: 4 for $75,2.0,
New Private Client Special - 3 Sessions *First Timers Only*,2.0,
Next Stop: Ocean Park! - 3 Classes for $73,1.0,
Series of 10 Semi-Private Appointments,6.0,
PTT 1st payment,,1.0
PTT Final Payment,,1.0
Series of 20 Semi Private Appointments,6.0,
Master Instructor - Series of 5 Privates,6.0,
Master Instructor - Series of 5 Privates,6.0,
Books,12.0,
Single Semi-Private Appointment,6.0,
Next Stop: Culver City! - 3 classes for $73,1.0,
Master Instructor - Single Private Session,6.0,
Classpass Special:  4 Classes for $75,2.0,
"Align & Shine Summer Flash Sale - 8 classes for $249 (limit 3, valid in East Bay region only) ",6.0,
Master Instructor - Series of 20 Privates,6.0,
Series of 5 Semi-Private Appoinments,6.0,
Master Instructors - Series of 20 Privates,6.0,
Mighty Monthly  20 Pass,1.0,
Mighty Monthly 15 Classes,1.0,
Love Your Practice - 10 Privates,6.0,
Series of 40 Privates Appointments,6.0,
Series of 40 Private Appointments,6.0,
Master Instructor - Single Private Session,6.0,
Staff Reformer Rental,6.0,
Next Stop: Danville! - 3 classes for $73,1.0,
Series of 10 Master Trainer Privates,6.0,
"Ready Set Spring - 8 classes for $240 (WW/SM only, limit 3)",6.0,
Series of 20 Private Sessions,6.0,
Welcome Back: Private Client Special 3 for $225,2.0,
Single Master Trainer Private,6.0,
Series of 10 Semi Private Appointments,6.0,
20 Pack Live Stream Pilates Private,6.0,
Danville Founder’s 50 Mighty Monthly - First Month,1.0,
Love Your Practice - 10 Master Privates,6.0,
Series of 40 Private Pilates,6.0,
Single Private Appointment ,6.0,
Classpass Special: 4 classes for $75,2.0,
Series of 5 Master Trainer Privates,6.0,
Master Instructor - 10 Sessions,6.0,
Single Semi Private Appointment,6.0,
Mighty Monthly 8 Private Pass,1.0,
Next Stop: Russian Hill! - 3 classes for $73,2.0,
New Private Client Special - 3 Sessions *First Timers Only*,2.0,
MMP 20,6.0,
Staff Drop In Class - $5,6.0,
Mighty Pilates Workshops,6.0,
Danville Mini Mighty Monthly Pass,1.0,
Final Payment (Staff Discount) - PTT,,1.0
Danville Founder’s 50 Mighty Monthly Pass ,1.0,
Private Room Rental,6.0,
New Client Duet Special 3 for $145,2.0,
Master Instructor - 10 Semi Privates,6.0,
Tinsel & Tone Flash Sale - 6 classes for $199 (Berkeley/Lafayette only),6.0,
Classpass Special: 4 Classes for $75,2.0,
Marin Founders MMP,1.0,
Master Instructor - Single Semi Private,6.0,
Welcome Back Offer: 5 classes for $99 (Valid for 2 months),2.0,
Next Stop: Santa Barbara! - 3 classes for $73,1.0,
